Date Time, Water Level, Sigma, O, F, R, L, Quality 
2016-01-01 00:00:00,5.482,0.049,0,0,0,0,v
2016-01-01 00:06:00,5.452999999999999,0.036000000000000004,0,0,0,0,v
2016-01-01 00:12:00,5.459,0.039,0,0,0,0,v
2016-01-01 00:18:00,5.476,0.055999999999999994,0,0,0,0,v
2016-01-01 00:24:00,5.479,0.049,0,0,0,0,v
2016-01-01 00:30:00,5.489,0.052000000000000005,0,0,0,0,v
2016-01-01 00:36:00,5.502000000000001,0.033,0,0,0,0,v
2016-01-01 00:42:00,5.479,0.039,0,0,0,0,v
2016-01-01 00:48:00,5.459,0.046,0,0,0,0,v
2016-01-01 00:54:00,5.485,0.059000000000000004,0,0,0,0,v
2016-01-01 01:00:00,5.466,0.055999999999999994,0,0,0,0,v
2016-01-01 01:06:00,5.433,0.055999999999999994,0,0,0,0,v
2016-01-01 01:12:00,5.3870000000000005,0.052000000000000005,0,0,0,0,v
2016-01-01 01:18:00,5.364,0.043,0,0,0,0,v
2016-01-01 01:24:00,5.331,0.055999999999999994,0,0,0,0,v
2016-01-01 01:30:00,5.282,0.036000000000000004,0,0,0,0,v
2016-01-01 01:36:00,5.242999999999999,0.046,0,0,0,0,v
2016-01-01 01:42:00,5.207000000000001,0.043,0,0,0,0,v
2016-01-01 01:48:00,5.115,0.043,0,0,0,0,v
2016-01-01 01:54:00,5.016,0.036000000000000004,0,0,0,0,v
2016-01-01 02:00:00,4.938,0.046,0,0,0,0,v
2016-01-01 02:06:00,4.878,0.033,0,0,0,0,v
2016-01-01 02:12:00,4.813,0.033,0,0,0,0,v
2016-01-01 02:18:00,4.7139999999999995,0.046,0,0,0,0,v
2016-01-01 02:24:00,4.613,0.043,0,0,0,0,v
2016-01-01 02:30:00,4.534,0.036000000000000004,0,0,0,0,v
2016-01-01 02:36:00,4.439,0.036000000000000004,0,0,0,0,v
2016-01-01 02:42:00,4.337,0.046,0,0,0,0,v
2016-01-01 02:48:00,4.2219999999999995,0.033,0,0,0,0,v
2016-01-01 02:54:00,4.101,0.03,0,0,0,0,v
2016-01-01 03:00:00,4.002,0.055999999999999994,0,0,0,0,v
2016-01-01 03:06:00,3.924,0.043,0,0,0,0,v
2016-01-01 03:12:00,3.842,0.039,0,0,0,0,v
2016-01-01 03:18:00,3.733,0.036000000000000004,0,0,0,0,v
2016-01-01 03:24:00,3.602,0.049,0,0,0,0,v
2016-01-01 03:30:00,3.487,0.036000000000000004,0,0,0,0,v
2016-01-01 03:36:00,3.392,0.033,0,0,0,0,v
2016-01-01 03:42:00,3.287,0.036000000000000004,0,0,0,0,v
2016-01-01 03:48:00,3.1689999999999996,0.046,0,0,0,0,v
2016-01-01 03:54:00,3.054,0.033,0,0,0,0,v
2016-01-01 04:00:00,2.9360000000000004,0.026000000000000002,0,0,0,0,v
2016-01-01 04:06:00,2.841,0.046,0,0,0,0,v
2016-01-01 04:12:00,2.772,0.043,0,0,0,0,v
