Date Time, Water Level, Sigma, O, F, R, L, Quality 
2014-01-01 00:00,0.026,0.049,0,0,0,0,v
2014-01-01 00:06,-0.197,0.043,0,0,0,0,v
2014-01-01 00:12,-0.427,0.033,0,0,0,0,v
2014-01-01 00:18,-0.624,0.043,0,0,0,0,v
2014-01-01 00:24,-0.788,0.049,0,0,0,0,v
2014-01-01 00:30,-0.961,0.033,0,0,0,0,v
2014-01-01 00:36,-1.152,0.036,0,0,0,0,v
2014-01-01 00:42,-1.358,0.033,0,0,0,0,v
2014-01-01 00:48,-1.542,0.030,0,0,0,0,v
2014-01-01 00:54,-1.683,0.033,0,0,0,0,v
2014-01-01 01:00,-1.778,0.033,0,0,0,0,v
2014-01-01 01:06,-1.883,0.030,0,0,0,0,v
2014-01-01 01:12,-2.044,0.026,0,0,0,0,v
2014-01-01 01:18,-2.234,0.052,0,0,0,0,v
2014-01-01 01:24,-2.392,0.030,0,0,0,0,v
2014-01-01 01:30,-2.530,0.026,0,0,0,0,v
2014-01-01 01:36,-2.608,0.023,0,0,0,0,v
2014-01-01 01:42,-2.664,0.026,0,0,0,0,v
2014-01-01 01:48,-2.746,0.026,0,0,0,0,v
2014-01-01 01:54,-2.848,0.023,0,0,0,0,v
2014-01-01 02:00,-2.927,0.026,0,0,0,0,v
2014-01-01 02:06,-2.973,0.033,0,0,0,0,v
2014-01-01 02:12,-3.005,0.023,0,0,0,0,v
2014-01-01 02:18,-3.035,0.030,0,0,0,0,v
2014-01-01 02:24,-3.051,0.023,0,0,0,0,v
2014-01-01 02:30,-3.068,0.023,0,0,0,0,v
2014-01-01 02:36,-3.038,0.020,0,0,0,0,v
2014-01-01 02:42,-2.979,0.033,0,0,0,0,v
2014-01-01 02:48,-2.904,0.026,0,0,0,0,v
2014-01-01 02:54,-2.848,0.020,0,0,0,0,v
2014-01-01 03:00,-2.815,0.026,0,0,0,0,v
2014-01-01 03:06,-2.776,0.030,0,0,0,0,v
2014-01-01 03:12,-2.684,0.030,0,0,0,0,v
2014-01-01 03:18,-2.536,0.030,0,0,0,0,v
2014-01-01 03:24,-2.379,0.036,0,0,0,0,v
2014-01-01 03:30,-2.215,0.023,0,0,0,0,v
2014-01-01 03:36,-2.070,0.023,0,0,0,0,v
2014-01-01 03:42,-1.942,0.026,0,0,0,0,v
2014-01-01 03:48,-1.805,0.036,0,0,0,0,v
2014-01-01 03:54,-1.624,0.036,0,0,0,0,v
2014-01-01 04:00,-1.417,0.039,0,0,0,0,v
2014-01-01 04:06,-1.237,0.036,0,0,0,0,v
2014-01-01 04:12,-1.050,0.046,0,0,0,0,v
2014-01-01 04:18,-0.827,0.043,0,0,0,0,v
2014-01-01 04:24,-0.597,0.039,0,0,0,0,v
2014-01-01 04:30,-0.361,0.046,0,0,0,0,v
2014-01-01 04:36,-0.161,0.046,0,0,0,0,v
2014-01-01 04:42,0.049,0.039,0,0,0,0,v
2014-01-01 04:48,0.249,0.030,0,0,0,0,v
2014-01-01 04:54,0.443,0.043,0,0,0,0,v
2014-01-01 05:00,0.676,0.036,0,0,0,0,v
2014-01-01 05:06,0.945,0.052,0,0,0,0,v
2014-01-01 05:12,1.220,0.052,0,0,0,0,v
2014-01-01 05:18,1.447,0.036,0,0,0,0,v
2014-01-01 05:24,1.653,0.026,0,0,0,0,v
2014-01-01 05:30,1.831,0.046,0,0,0,0,v
2014-01-01 05:36,2.054,0.049,0,0,0,0,v
2014-01-01 05:42,2.352,0.000,0,0,0,0,v
2014-01-01 05:48,2.621,0.000,0,0,0,0,v
2014-01-01 05:54,2.789,0.000,0,0,0,0,v
2014-01-01 06:00,2.953,0.000,0,0,0,0,v
2014-01-01 06:06,3.176,0.000,0,0,0,0,v
2014-01-01 06:12,3.415,0.000,0,0,0,0,v
2014-01-01 06:18,3.671,0.000,0,0,0,0,v
2014-01-01 06:24,3.858,0.000,0,0,0,0,v
2014-01-01 06:30,3.970,0.000,0,0,0,0,v
2014-01-01 06:36,4.111,0.000,0,0,0,0,v
2014-01-01 06:42,4.311,0.036,0,0,0,0,v
2014-01-01 06:48,4.504,0.043,0,0,0,0,v
2014-01-01 06:54,4.682,0.036,0,0,0,0,v
2014-01-01 07:00,4.816,0.020,0,0,0,0,v
2014-01-01 07:06,4.918,0.033,0,0,0,0,v
2014-01-01 07:12,5.033,0.043,0,0,0,0,v
2014-01-01 07:18,5.190,0.033,0,0,0,0,v
2014-01-01 07:24,5.361,0.033,0,0,0,0,v
2014-01-01 07:30,5.439,0.033,0,0,0,0,v
2014-01-01 07:36,5.502,0.033,0,0,0,0,v
2014-01-01 07:42,5.567,0.020,0,0,0,0,v
2014-01-01 07:48,5.656,0.039,0,0,0,0,v
2014-01-01 07:54,5.754,0.030,0,0,0,0,v
2014-01-01 08:00,5.846,0.030,0,0,0,0,v
2014-01-01 08:06,5.873,0.026,0,0,0,0,v
2014-01-01 08:12,5.882,0.030,0,0,0,0,v
2014-01-01 08:18,5.928,0.033,0,0,0,0,v
2014-01-01 08:24,5.987,0.023,0,0,0,0,v
